date,region,total_orders,revenue,gross_margin,net_profit,marketing_spend,r_and_d_spend,operational_costs,customer_satisfaction,active_customers,new_customers,repeat_customers,refunds,support_tickets,avg_resolution_hours,employee_count,avg_salary,inventory_turnover,delivery_delay_days,co2_emissions_tons,energy_consumption_mwh,governance_score,environmental_score,social_score
2011-02-06,Latin America,3395,340213,0.35,79748,88076,19539,219140,4.05,42431,2916,10520,279,676,11.7,1016,5381,7.13,0.32,5361,2488,65.0,69.4,93.5
2011-02-07,North America,5250,340791,0.345,103412,33948,16273,147867,4.29,56550,2323,4507,73,997,34.6,924,4802,5.23,2.14,1908,1031,69.1,75.8,55.3
2011-02-08,North America,1306,498655,0.419,178105,29933,35171,362346,3.4,49573,1468,14633,161,932,4.2,489,5928,8.43,0.75,5114,2827,80.6,91.0,69.2
2011-02-09,Asia-Pacific,3030,442592,0.408,175410,87278,40541,151809,3.59,24310,3421,12787,394,978,8.0,490,6963,7.6,2.94,1198,571,68.2,63.2,69.7
2011-02-10,Asia-Pacific,2259,546365,0.442,74574,22524,47087,289559,4.71,38225,2903,3765,236,955,9.3,374,3135,6.49,0.49,990,1956,87.1,60.2,94.6
2011-02-11,Asia-Pacific,7369,615251,0.307,95821,29797,21699,219626,3.78,41570,2295,12317,209,1138,4.7,801,7311,5.38,1.22,3371,1399,88.5,78.3,58.7
2011-02-12,Europe,4785,471261,0.39,123642,33823,36388,237265,4.56,27202,1973,6951,78,1675,28.1,1003,4876,2.66,1.54,5383,2272,65.7,81.6,71.1
2011-02-13,Latin America,4769,343982,0.385,106657,75792,11415,235409,3.63,44649,932,11157,41,1936,39.3,450,4877,7.71,0.81,5300,2765,94.2,70.7,94.4
2011-02-14,Latin America,1730,209497,0.335,168835,38702,39281,376425,3.27,44913,2731,5819,10,729,7.3,1106,4041,4.91,1.61,4661,981,69.3,56.3,79.6
2011-02-15,Latin America,2345,624677,0.362,123737,43172,19653,285601,4.05,15995,840,7373,203,1345,32.4,392,5181,4.52,0.55,1021,2742,62.5,58.6,57.4
2011-02-16,Latin America,5188,453222,0.322,122870,53120,13676,310475,4.72,45480,1519,9151,243,1592,8.7,952,5394,3.61,0.2,4152,858,75.3,65.7,92.1
2011-02-17,Asia-Pacific,4271,552132,0.283,119587,83665,16899,154971,4.59,54923,2923,2663,213,1405,39.0,915,7203,5.79,2.15,4542,2373,66.4,63.8,74.4
2011-02-18,Europe,5152,678837,0.299,92538,20300,33360,162335,3.63,58688,3977,4331,83,810,21.3,1014,5470,7.81,2.54,5256,1316,87.5,67.6,86.6
2011-02-19,Europe,3350,291411,0.274,153625,53427,17187,198225,4.75,32134,2762,7584,161,312,34.2,540,4902,4.03,1.81,4526,1700,64.0,76.5,86.3
2011-02-20,Asia-Pacific,3881,459621,0.407,128201,75856,21739,352428,4.02,50760,3052,8043,370,1293,8.5,362,4536,8.44,0.84,2804,2980,76.9,57.2,74.9
2011-02-21,Europe,5248,213356,0.402,125471,25124,32787,192332,3.28,37453,812,3390,379,1224,35.6,912,5062,4.78,1.3,5517,367,62.9,64.1,86.7
2011-02-22,Asia-Pacific,4600,346522,0.469,131557,68296,19214,251451,3.25,54194,2440,4816,156,1242,5.1,1117,4528,8.79,1.95,530,1874,91.5,87.0,89.8
2011-02-23,Latin America,4440,546162,0.418,86593,58567,42034,222310,4.02,54888,2763,14210,60,1520,2.9,537,6660,6.74,0.29,4394,1071,70.8,61.7,86.6
2011-02-24,Asia-Pacific,1584,327664,0.262,123512,67184,29236,185121,4.13,44712,2212,7540,346,1313,28.9,533,7948,4.57,0.46,2296,864,81.6,67.0,78.4
2011-02-25,Latin America,3738,390753,0.453,167018,21652,48209,396079,3.34,28680,3503,14064,267,1930,6.0,530,7269,8.89,2.88,4533,2115,85.5,73.3,76.4
2011-02-26,Latin America,5718,538844,0.448,84411,36165,22796,309273,4.77,27478,628,4562,19,566,34.9,1057,7206,6.16,2.1,5572,1556,61.1,61.5,70.9
2011-02-27,North America,2133,207205,0.352,79417,61627,32533,106209,4.42,27185,1212,9089,112,1374,25.6,1032,3116,7.38,2.15,1049,2706,73.4,85.4,53.6
2011-02-28,Asia-Pacific,4409,230221,0.385,86085,74590,9643,327518,4.56,52302,807,8962,143,1511,14.6,609,6953,5.16,0.49,1505,1623,69.9,56.1,71.5
2011-03-01,North America,1071,344109,0.474,97630,59944,23338,383314,4.19,23088,985,13029,199,602,12.5,859,7371,2.84,0.85,5503,2230,79.1,72.1,78.3
2011-03-02,Asia-Pacific,2620,581841,0.372,58300,43374,31822,389718,4.33,16504,646,2680,75,303,5.1,357,6139,8.75,1.3,1093,2278,87.0,76.9,70.4
2011-03-03,Asia-Pacific,7192,438604,0.458,156632,48968,35879,327768,3.86,38447,1555,7291,273,1666,28.1,586,4514,4.25,0.77,1314,538,64.6,60.0,68.8
2011-03-04,North America,4007,339675,0.269,172639,73862,21209,148232,4.35,57101,947,8450,333,330,36.8,519,7222,8.43,2.47,3792,1303,76.6,82.5,60.6
2011-03-05,North America,6718,649906,0.294,47840,23562,23331,359405,4.86,25616,2098,7978,196,1953,30.8,630,4148,8.35,1.9,2103,1932,64.6,58.9,66.5
2011-03-06,Asia-Pacific,5287,305395,0.351,118759,45475,29122,111341,4.3,33944,3339,4773,315,501,25.5,480,7932,2.66,0.75,5022,490,87.6,77.2,59.2
2011-03-07,Europe,2819,381795,0.384,123235,71106,39075,383616,3.78,42999,2146,14557,360,1921,6.5,428,7353,2.8,2.36,2656,1900,87.5,90.9,53.5
2011-03-08,Latin America,5795,521166,0.438,153332,41612,28766,377774,3.68,51990,3084,7676,301,841,33.4,536,5398,6.28,1.71,1383,645,71.6,61.6,82.6
2011-03-09,North America,3288,251486,0.477,155344,29579,38703,187398,4.84,30834,3601,13622,145,456,38.7,526,3811,2.25,0.78,5950,3021,71.5,77.8,81.5
2011-03-10,Latin America,1254,425217,0.339,58149,19904,38311,398671,3.51,53576,1875,8169,104,1366,12.0,1037,3308,4.95,2.56,5216,1723,81.0,88.0,73.3
2011-03-11,Europe,4253,492766,0.261,168010,79350,14764,123793,4.57,44235,2377,7562,196,1408,18.0,632,7819,5.69,0.79,6085,2728,94.9,63.6,53.6
2011-03-12,Europe,1312,398414,0.434,77508,78439,43763,346842,3.99,41094,1686,12515,241,705,2.5,330,6320,3.38,2.13,3652,1683,94.3,55.8,77.7
2011-03-13,Europe,4803,641118,0.389,52797,29114,12106,326175,3.95,31341,772,4699,343,987,33.6,488,6114,7.39,1.32,5513,1098,71.0,55.9,62.6
2011-03-14,North America,5699,639106,0.296,143392,37813,26202,248736,4.47,30261,526,4798,387,1042,2.8,1077,6836,5.02,2.3,2302,2732,89.0,64.8,92.7
2011-03-15,Europe,3299,362210,0.364,87402,48647,33912,347387,3.45,33493,2059,10754,354,1683,20.5,1094,4426,4.96,1.39,4158,1706,71.0,83.6,52.2
2011-03-16,North America,7905,409603,0.421,88605,50909,43308,115714,3.99,58815,2420,7157,215,731,23.9,1025,3198,3.64,1.0,5250,1268,77.9,68.6,50.1
2011-03-17,Europe,4235,271343,0.427,131380,44718,24412,147643,3.26,53388,3547,12682,308,1252,4.1,451,6700,8.21,2.89,5365,1034,61.1,74.2,87.5
2011-03-18,Latin America,4666,271403,0.365,176585,66452,47798,392756,4.34,39436,3569,15117,242,449,8.7,306,5228,2.08,2.32,3911,3010,92.9,57.3,60.4
2011-03-19,Latin America,4397,218845,0.32,53854,47083,42843,367867,3.3,58600,1193,10295,72,1222,32.1,594,3191,2.05,2.52,3251,2402,85.7,90.3,80.2
2011-03-20,Asia-Pacific,5959,530974,0.474,45269,26166,37121,321670,3.35,44629,1841,3868,346,618,11.6,985,7226,8.97,1.08,3647,1412,90.3,71.4,65.7
2011-03-21,Latin America,6100,248932,0.403,161332,79439,19042,334546,4.64,34511,2357,12668,378,1583,29.5,1035,3766,2.15,1.17,5011,1094,79.5,86.5,87.1
2011-03-22,Asia-Pacific,1477,583586,0.344,58799,48823,12593,391392,3.95,39058,2966,12857,277,1157,30.5,385,4432,3.09,0.68,5883,901,62.3,55.7,88.4
2011-03-23,Latin America,3078,458753,0.315,92309,62521,26373,132581,3.54,35262,1164,14211,349,786,17.5,456,3163,8.18,1.45,1229,1911,75.4,83.0,92.4
2011-03-24,North America,2446,553684,0.418,61179,45111,18855,152370,4.21,17746,2750,13109,363,1276,4.4,1106,5381,6.31,2.99,1455,316,72.9,75.1,67.3
2011-03-25,Latin America,2164,461406,0.306,130225,27538,39229,156208,4.08,53240,3887,4263,65,302,2.4,778,5808,6.37,1.85,1660,712,78.0,65.4,50.3
2011-03-26,Asia-Pacific,4493,392127,0.289,154259,85522,41652,286807,3.9,18324,1549,5436,58,1660,20.7,983,4713,5.33,2.23,5023,2480,67.4,83.6,56.5
2011-03-27,Asia-Pacific,4723,432613,0.372,153285,50776,29414,343179,4.74,48962,2305,5432,36,1235,4.7,633,5161,3.05,2.26,1381,621,75.8,74.6,63.9
2011-03-28,Europe,1977,243849,0.317,143018,21763,32832,290669,4.47,50962,875,13372,91,638,29.6,651,4551,4.57,0.77,3831,477,61.0,79.0,86.4
2011-03-29,North America,1256,283284,0.395,92042,59588,44710,168994,3.46,18727,1063,14301,239,1298,16.5,608,6675,7.03,0.36,3090,693,65.2,84.4,91.0
2011-03-30,Latin America,5114,507246,0.277,72614,80783,43651,292762,4.17,46117,1604,5791,45,1917,28.0,770,3971,5.4,0.54,2455,611,90.5,58.6,59.5
2011-03-31,Europe,4827,599013,0.401,44053,85488,38262,356866,3.35,15549,816,12724,229,1063,17.5,1079,4991,7.11,2.22,5598,2867,73.2,82.6,67.6
2011-04-01,Latin America,3087,487991,0.315,102874,33679,32982,312323,3.62,41513,2780,7665,383,1210,25.9,1030,4693,2.05,1.48,2501,834,75.0,72.1,75.5
2011-04-02,Latin America,6481,641474,0.25,84677,34790,28796,339407,4.75,57804,2198,10605,243,606,33.7,989,3827,6.59,2.73,2398,2119,72.5,92.2,62.5
2011-04-03,Europe,3165,279855,0.279,81368,59809,13217,377759,3.99,44372,1821,5869,166,1989,35.6,415,5236,6.15,1.23,1142,923,81.7,90.1,65.4
2011-04-04,Europe,4718,446962,0.465,125932,45754,12572,364477,4.72,40694,895,11358,88,1614,2.6,471,3229,8.82,0.49,3935,2225,60.2,85.1,85.4
2011-04-05,Europe,3205,402823,0.449,75150,30609,20338,207635,3.48,26655,1538,7923,306,1705,26.5,571,3773,8.35,2.91,3656,367,93.2,84.3,57.6
2011-04-06,Europe,6318,293775,0.304,59205,70629,16347,260349,3.55,37396,2753,8817,245,1200,23.4,1000,5342,6.2,1.32,1919,1974,79.4,90.4,74.3
2011-04-07,Europe,1433,269261,0.429,155534,18959,38600,168781,3.8,30463,2930,6682,37,1497,26.2,639,3516,6.03,2.57,1199,510,73.3,86.8,76.2
2011-04-08,Latin America,6724,302378,0.39,169309,85768,15869,240904,3.82,40113,3389,12605,201,323,4.2,1056,7169,2.65,0.33,1098,1850,90.2,93.5,56.4
2011-04-09,Europe,6263,445270,0.473,128367,66050,34424,299316,4.47,23375,2732,8278,161,1325,4.7,488,6101,8.59,1.21,2000,1836,77.4,89.5,81.6
2011-04-10,North America,6855,528863,0.336,113007,60256,26449,374564,4.22,37533,1632,4078,110,1487,20.9,1033,5383,6.95,1.86,2534,2430,63.3,68.2,59.0
2011-04-11,Asia-Pacific,3502,634888,0.407,148358,85424,31549,266089,4.14,27457,3996,10443,287,1823,4.2,661,6338,5.52,1.67,2730,2484,91.9,82.9,81.4
2011-04-12,Europe,5337,216761,0.265,44355,43383,24028,265728,4.22,36685,2281,13537,56,1880,31.5,625,7110,8.0,2.24,4612,1328,73.5,89.6,68.0
2011-04-13,Europe,7546,589851,0.341,98729,39850,17328,129942,4.44,55145,3050,7020,26,1307,31.4,557,6499,7.11,2.67,4139,2426,80.0,87.4,77.5
2011-04-14,Latin America,5627,650818,0.472,70132,34042,14794,243645,4.72,37128,3505,11079,394,1674,6.5,464,4589,5.94,2.32,1930,1804,93.1,79.9,76.2
2011-04-15,Europe,2580,694994,0.374,91877,69523,39151,281761,3.91,21950,3249,6320,354,1417,19.3,756,6712,5.77,1.07,4007,1623,70.3,75.1,94.3
2011-04-16,Europe,6216,254174,0.316,81176,56011,36244,193149,4.56,56308,3896,3801,21,503,24.6,1149,4036,8.48,2.91,5994,1120,66.2,58.3,52.9
2011-04-17,Europe,7411,319892,0.278,102602,63411,30363,280992,4.04,58059,3216,5789,285,1446,34.7,330,6951,7.59,2.77,4789,2344,90.3,67.8,62.5
2011-04-18,Latin America,3243,304331,0.412,48835,62363,40614,384477,4.43,53986,1917,7932,270,336,39.6,609,4335,4.82,1.96,4148,1352,78.3,79.2,76.5
2011-04-19,Europe,7132,469216,0.398,142268,68840,21752,177284,4.69,42397,3210,5014,263,929,2.7,874,7006,6.4,1.63,4568,1971,84.3,78.1,84.1
2011-04-20,Asia-Pacific,3642,235602,0.336,160931,52814,10918,241254,3.25,32493,2931,5337,24,1252,20.1,659,6941,3.37,1.65,1692,2283,63.9,85.0,90.2
2011-04-21,Latin America,6497,215767,0.469,154536,56179,34294,359357,4.13,51909,3547,5266,34,1152,32.5,893,6138,8.53,2.26,3940,2287,84.4,90.0,54.4
2011-04-22,Asia-Pacific,3430,244355,0.255,109114,29883,17031,265440,4.88,33188,3103,11788,172,1463,32.2,766,6997,6.87,1.55,4525,1553,80.1,77.5,62.6
2011-04-23,Latin America,4040,347539,0.32,106735,65035,23339,160217,4.04,26706,1042,4700,117,933,22.6,458,6161,8.72,2.96,3890,949,71.5,80.7,55.1
2011-04-24,Europe,2328,281384,0.462,146313,84236,27297,119432,4.67,59558,2381,7095,320,1043,8.9,1002,7490,4.04,2.19,2016,2911,89.7,72.0,53.3
2011-04-25,Asia-Pacific,2064,297622,0.324,164914,29049,46328,176902,3.52,27265,2777,9960,72,1552,23.2,999,4477,4.21,0.87,1507,2932,76.1,57.3,50.9
2011-04-26,Latin America,5819,246931,0.308,166386,17269,31420,177589,4.23,18527,3218,5127,252,718,16.9,1194,4611,7.82,2.04,3335,514,74.3,68.1,86.2
2011-04-27,North America,5057,599277,0.373,104803,44366,29672,320177,4.68,42202,3394,12697,312,1816,17.5,805,7885,3.83,1.56,4801,1101,66.4,76.6,57.0
2011-04-28,Europe,6779,278628,0.439,114589,36382,34314,143616,3.93,49680,3047,12489,125,1184,14.5,631,7773,4.5,0.65,4005,3011,68.9,74.7,67.5
2011-04-29,Latin America,2144,589694,0.274,173376,80518,41183,389400,4.03,27689,684,6073,329,627,7.5,772,7619,8.19,1.65,1244,2946,69.6,77.5,50.5
2011-04-30,North America,4796,648424,0.467,169002,83594,16234,209653,3.34,37347,2876,2925,31,1478,30.1,977,6491,5.62,2.61,3746,2827,74.2,80.0,87.3
2011-05-01,Latin America,3876,327314,0.433,70864,64933,23102,147778,3.27,20659,964,14138,115,1679,28.9,608,5865,4.1,0.27,4249,1773,77.5,57.8,54.9
2011-05-02,North America,2684,605264,0.292,83011,32082,46474,242008,4.0,18837,1901,12669,342,1330,22.6,1035,4296,4.87,2.58,3197,1156,94.7,55.5,70.0
2011-05-03,Europe,4975,428359,0.414,52539,25084,31348,176296,4.63,38653,1466,10920,339,814,15.5,1031,4695,6.98,2.12,1422,1133,79.1,64.1,66.2
2011-05-04,Asia-Pacific,3466,363875,0.339,51426,15425,25551,220701,4.78,37936,3931,7889,345,303,33.3,960,7268,3.11,2.23,5343,2110,76.4,76.5,61.4
2011-05-05,North America,6888,288083,0.343,177973,30724,44108,371486,4.32,21415,1021,5545,392,1027,8.1,681,3706,8.74,2.7,3661,826,82.4,68.6,70.8
2011-05-06,Latin America,1536,589501,0.43,80805,63195,13777,114004,4.6,31056,2659,9236,139,1075,18.5,553,4816,5.45,2.84,2770,1382,86.4,78.3,51.8
2011-05-07,Europe,3928,528968,0.471,45081,84061,21979,265695,4.45,28515,492,7166,135,344,26.8,676,6173,7.35,1.03,4704,3066,94.3,80.5,66.4
2011-05-08,North America,2657,414837,0.279,108302,84454,38221,251089,4.39,33662,2334,8525,379,504,33.2,1072,5864,6.91,2.77,3597,2617,94.9,62.0,74.2
2011-05-09,Latin America,6274,658086,0.347,144169,16105,32105,282236,4.51,37806,1690,3991,237,1524,26.7,630,4066,6.77,0.81,4048,2797,90.1,78.5,77.3
2011-05-10,Latin America,4961,477828,0.361,71633,67356,10977,357728,4.06,28252,798,6519,380,1215,6.5,771,6310,4.94,0.6,4820,684,61.5,94.8,74.7
2011-05-11,Latin America,2408,565384,0.337,137867,55584,21184,329027,3.98,58182,1936,9344,326,549,5.8,305,4817,2.3,1.75,1587,1745,61.5,93.5,70.4
2011-05-12,North America,7973,476098,0.334,133746,61949,17477,263475,3.47,32102,3555,12262,270,1535,3.9,982,7192,7.19,2.8,3156,956,71.3,69.1,76.3
2011-05-13,North America,7279,398320,0.262,77747,62171,32852,108499,4.63,29524,1918,4505,37,1456,23.3,842,7110,8.68,0.35,2654,2047,90.4,63.1,54.0
2011-05-14,North America,3490,575370,0.408,91188,55282,33556,266680,3.28,40682,3194,6894,346,985,11.2,501,6380,5.54,1.68,3160,705,86.6,91.2,63.9
2011-05-15,Asia-Pacific,1289,261856,0.35,159039,26313,28277,317128,3.65,42741,3964,6215,24,1392,8.1,1012,3228,8.68,2.1,4141,1040,82.0,85.1,93.5
2011-05-16,North America,7795,473629,0.295,49659,81200,40182,304865,4.08,37838,2077,4501,192,590,5.2,585,5579,5.74,2.29,2175,3001,66.7,64.5,93.1
2011-05-17,North America,6673,664380,0.438,180902,36280,9416,204176,4.85,46100,2546,12755,385,954,26.4,1181,4668,3.17,1.61,2350,1248,94.0,68.3,78.3
2011-05-18,North America,6684,459205,0.435,45468,89738,45576,296270,4.54,52959,3635,10287,303,1852,30.6,932,5879,3.68,1.81,5047,2748,91.5,72.2,72.5
2011-05-19,Asia-Pacific,2699,536885,0.362,92076,88486,22911,217711,3.83,40516,646,5325,219,631,34.6,801,3431,8.05,1.47,3106,1488,92.0,70.6,60.4
2011-05-20,North America,2698,685802,0.319,131203,59954,41766,210654,4.41,29302,1164,5496,23,729,24.6,362,3935,6.35,2.23,3048,1355,77.8,79.6,66.2
2011-05-21,Latin America,1771,465376,0.397,45116,32280,9286,171342,4.78,50080,3643,10721,41,1059,15.5,733,5045,4.9,1.26,3562,2801,72.9,83.9,79.1
2011-05-22,North America,1271,587245,0.316,135242,86242,19772,383302,4.12,48992,898,8382,53,1039,19.9,326,4815,7.6,0.99,3842,532,82.3,91.0,86.6
2011-05-23,Latin America,5066,453977,0.304,57761,46169,35328,176547,3.99,37567,1855,14515,357,1768,26.2,736,3837,6.49,0.94,2644,2196,83.0,62.0,87.2
2011-05-24,Latin America,7669,338769,0.418,43026,57988,15385,373316,4.14,51172,3645,12080,383,1494,29.1,573,3907,8.11,2.03,4135,466,92.5,69.6,56.2
2011-05-25,Latin America,2126,565407,0.259,168641,88373,31788,104851,3.73,45937,2910,7544,125,677,26.5,913,7735,8.8,2.79,5536,428,80.0,85.0,72.7
2011-05-26,Asia-Pacific,1168,237290,0.272,107753,47640,8827,183452,4.74,24068,1251,6456,132,1146,38.6,713,3623,6.56,0.97,4656,2652,90.8,82.8,82.1
2011-05-27,Asia-Pacific,7667,210046,0.252,101774,33083,19308,213527,4.56,53965,4098,9351,381,505,30.5,826,7044,8.8,0.9,3436,599,71.0,90.9,81.3
2011-05-28,Asia-Pacific,8107,503676,0.285,181742,87300,43747,393312,4.4,38942,1783,9174,111,1926,30.5,578,4732,5.29,2.2,3313,808,61.5,83.4,93.8
2011-05-29,North America,6259,585231,0.266,60322,86917,10276,225839,4.2,32306,1512,13755,13,1949,33.2,359,4420,7.88,0.23,3110,2172,75.3,59.6,55.7
2011-05-30,Latin America,6268,360634,0.479,140600,66181,14204,185850,4.85,22373,3844,7118,380,1345,19.5,1128,3257,8.35,2.54,5440,1764,67.0,83.8,70.8
2011-05-31,Asia-Pacific,7966,596397,0.316,114655,45881,41607,185202,3.71,27641,2459,7610,199,1460,12.0,873,3363,2.32,1.26,2930,2359,87.2,56.2,53.5
2011-06-01,Asia-Pacific,3427,590076,0.284,74961,76367,31732,279244,3.68,28746,3243,8579,212,1626,33.0,866,7425,8.06,2.72,2999,2832,88.2,77.5,75.7
2011-06-02,North America,2349,411277,0.305,155415,33338,36933,295013,3.61,41468,1397,6739,247,302,19.6,715,3344,4.86,2.18,980,2715,87.4,81.8,80.8
2011-06-03,Asia-Pacific,6712,567924,0.465,71694,58805,36081,126710,4.46,24882,2352,8931,68,1759,25.1,674,3675,4.79,2.42,1064,318,76.2,88.0,53.4
2011-06-04,North America,8042,567232,0.37,87178,28441,48337,245137,4.56,53785,2088,6752,340,1098,18.3,795,6462,7.47,0.68,2857,1296,91.3,79.0,74.0
2011-06-05,Europe,6709,596001,0.334,134063,60293,38708,241544,4.22,19486,4165,12728,154,1336,17.1,421,5836,3.72,1.22,5561,942,75.6,80.4,93.8
2011-06-06,Asia-Pacific,2159,231185,0.451,67165,22696,50300,295414,4.31,28653,915,11067,13,813,27.5,1075,7181,2.22,0.99,3653,1091,81.0,61.1,51.6
